Trainable parameters: 5942210
Total parameters: 17118722
Checkpoint path:  None
FULL TRAINING
Starting from scratch
Checkpoint path:  None
FULL TRAINING
Starting from scratch
Epoch [1/500], Train Loss: 24414.2653, Val Loss: 12830.5804
Epoch [2/500], Train Loss: 22846.5905, Val Loss: 12830.5804
Epoch [3/500], Train Loss: 21679.8059, Val Loss: 11830.0464
Epoch [4/500], Train Loss: 20541.6465, Val Loss: 11830.0464
Epoch [5/500], Train Loss: 19915.7034, Val Loss: 11247.1467
Epoch [6/500], Train Loss: 19266.9049, Val Loss: 11247.1467
Epoch [7/500], Train Loss: 18787.3829, Val Loss: 11256.8139
Epoch [8/500], Train Loss: 18428.4991, Val Loss: 11256.8139
Epoch [9/500], Train Loss: 18120.6898, Val Loss: 10989.1713
Epoch [10/500], Train Loss: 17834.3232, Val Loss: 10989.1713
Epoch [11/500], Train Loss: 17244.2996, Val Loss: 10562.8229
Epoch [12/500], Train Loss: 17294.6271, Val Loss: 10562.8229
Epoch [13/500], Train Loss: 16622.3343, Val Loss: 10707.6760
Epoch [14/500], Train Loss: 16561.8723, Val Loss: 10707.6760
Epoch [15/500], Train Loss: 16137.5766, Val Loss: 10435.7027
Epoch [16/500], Train Loss: 15973.9511, Val Loss: 10435.7027
Epoch [17/500], Train Loss: 15860.2949, Val Loss: 10256.1722
Epoch [18/500], Train Loss: 15514.9172, Val Loss: 10256.1722
Epoch [19/500], Train Loss: 15314.8476, Val Loss: 9738.5712
Epoch [20/500], Train Loss: 15281.0337, Val Loss: 9738.5712
Epoch [21/500], Train Loss: 14983.8376, Val Loss: 10038.5983
Epoch [22/500], Train Loss: 14575.9724, Val Loss: 10038.5983
Epoch [23/500], Train Loss: 14810.6079, Val Loss: 9841.0317
Epoch [24/500], Train Loss: 14503.5611, Val Loss: 9841.0317
Epoch [25/500], Train Loss: 14596.5052, Val Loss: 10005.7721
Epoch [26/500], Train Loss: 14343.2131, Val Loss: 10005.7721
Epoch [27/500], Train Loss: 14264.7678, Val Loss: 9967.4777
Epoch [28/500], Train Loss: 14276.3699, Val Loss: 9967.4777
Epoch [29/500], Train Loss: 14245.0639, Val Loss: 9850.4647
Epoch [30/500], Train Loss: 13918.8896, Val Loss: 9850.4647
Epoch [31/500], Train Loss: 13697.5924, Val Loss: 9618.0954
Epoch [32/500], Train Loss: 13771.2097, Val Loss: 9618.0954
Epoch [33/500], Train Loss: 13707.2586, Val Loss: 9661.2372
Epoch [34/500], Train Loss: 13703.6096, Val Loss: 9661.2372
Epoch [35/500], Train Loss: 13364.1762, Val Loss: 9388.4588
Epoch [36/500], Train Loss: 13428.3206, Val Loss: 9388.4588
Epoch [37/500], Train Loss: 13382.5494, Val Loss: 9454.4911
Epoch [38/500], Train Loss: 13124.8104, Val Loss: 9454.4911
Epoch [39/500], Train Loss: 13327.4979, Val Loss: 9546.8570
Epoch [40/500], Train Loss: 13402.2783, Val Loss: 9546.8570
Epoch [41/500], Train Loss: 13200.7985, Val Loss: 9539.6649
Epoch [42/500], Train Loss: 13188.1166, Val Loss: 9539.6649
Epoch [43/500], Train Loss: 13146.9482, Val Loss: 9525.7783
Epoch [44/500], Train Loss: 13018.3479, Val Loss: 9525.7783
Epoch [45/500], Train Loss: 12699.7744, Val Loss: 9378.4432
Epoch [46/500], Train Loss: 12965.0271, Val Loss: 9378.4432
Epoch [47/500], Train Loss: 12893.7161, Val Loss: 9278.7439
Epoch [48/500], Train Loss: 12797.3689, Val Loss: 9278.7439
Epoch [49/500], Train Loss: 12544.8142, Val Loss: 9298.4317
Epoch [50/500], Train Loss: 12652.3724, Val Loss: 9298.4317
Epoch [51/500], Train Loss: 12651.4772, Val Loss: 9386.8970
Epoch [52/500], Train Loss: 12461.5370, Val Loss: 9386.8970
Epoch [53/500], Train Loss: 12346.9335, Val Loss: 9354.5516
Epoch [54/500], Train Loss: 12449.6308, Val Loss: 9354.5516
Epoch [55/500], Train Loss: 12213.5205, Val Loss: 9248.7726
Epoch [56/500], Train Loss: 12267.5799, Val Loss: 9248.7726
Epoch [57/500], Train Loss: 12260.3252, Val Loss: 9324.6174
