id,error_m,used_field,error_over_perturb_bound,error_over_map_side
1531281439800013-30e55a3ec6184d8cb1944b39ba19d622,77.04625234234304,distance_m,0.3852312617117152,0.15409250468468608
1531281440299931-cc18fde20db74d30825b0b60ec511b7b,2.8798395556685064,distance_m,0.014399197778342532,0.005759679111337013
1531281440800341-08e76760a8c64a92a86686baf68f6aff,6.472227738003439,distance_m,0.032361138690017194,0.012944455476006879
1531281441300213-2140329a6990437aa46b83c30f49cf49,48.591408705654956,distance_m,0.24295704352827477,0.09718281741130991
1531281441800080-01a7d01c014f406f87b8fe11976c3d0a,80.75038699597668,distance_m,0.40375193497988343,0.16150077399195337
1531281442299946-a2fada921a7d4141877f4a51328a21af,86.17206623958833,distance_m,0.43086033119794165,0.17234413247917665
1531281442899890-b06a815164ec466f9fdb525522bb3799,91.83749234381348,distance_m,0.4591874617190674,0.18367498468762697
1531281443400341-5bd85334fdf94fb99c7eaa45d5feba0d,90.08676373363625,distance_m,0.4504338186681812,0.1801735274672725
1531281443900217-61f89208546a4045af336659ebe8db05,24.751262594057703,distance_m,0.12375631297028851,0.049502525188115404
1531281444400092-3bf56ebb22b741339967a95a9fbe2081,136.3511092730822,distance_m,0.6817555463654109,0.2727022185461644
1531281444899950-296fcfbf2e29489699f1cb5631f38ff5,152.5946427631062,distance_m,0.7629732138155311,0.30518928552621244
1531281445399270-f7d75d25c86941f3aecfed9efea1a3e3,97.86534115814445,distance_m,0.48932670579072224,0.1957306823162889
1531281445899707-1dfecb8189f54b999f4e47ddaa677fd0,252.3422774724838,distance_m,1.261711387362419,0.5046845549449676
1531281446448802-830ba619959e4802a955ac40c5ee9453,169.1319750963726,distance_m,0.8456598754818629,0.3382639501927452
1531281446948669-dc2b67cdadca4deb89d7d684f2894292,80.30644432422594,distance_m,0.40153222162112967,0.16061288864845188
1531281447447993-e1dffaba060040cfab07dec04790fbfa,240.5163715841398,distance_m,1.202581857920699,0.4810327431682796
1531281447947865-be28204a6a5a42ed9939d95ec3f22f5f,6.925501579694405,distance_m,0.03462750789847203,0.01385100315938881
1531281448397977-77c3d98fab3e4d3ea65747caaa74d605,235.56872670199667,distance_m,1.1778436335099833,0.4711374534039933
1531281448898402-5224809ffef94a6e83454ad3930d3533,56.794586009583696,distance_m,0.28397293004791846,0.11358917201916739
1531281449449207-3c18f85f037744b6ae4c8a6f8dc578c2,254.07011827446377,distance_m,1.2703505913723188,0.5081402365489275
1531281449949036-08d95280dd2f42d98a4a6e33dff8e815,77.63778075138418,distance_m,0.38818890375692094,0.15527556150276836
1531281450448906-f38aedc5545643d5be815165c6574186,3.5250008364974916,distance_m,0.01762500418248746,0.007050001672994983
1531281450949347-56f30b8972084492bbe742d423fc00ff,120.605244496249,distance_m,0.603026222481245,0.241210488992498
1531281451449214-d536032be01140afb6faa25b33de5487,52.92510825638734,distance_m,0.2646255412819367,0.10585021651277468
1531281451949111-4094ae4656fb4b8fb1906192b24a34cb,1.3314090295848335,distance_m,0.006657045147924168,0.002662818059169667
1531281452448962-df25b3ecaf994001ab5d5b92b9de89fd,6.2350606675535865,distance_m,0.031175303337767933,0.012470121335107174
1531281452949395-27f42a55215f4223a01afa79fcda72e6,23.251344047172843,distance_m,0.11625672023586421,0.046502688094345684
1531281453399502-f3c9f3e85f384381bfced8c2a863376f,0.955231060560986,distance_m,0.004776155302804929,0.001910462121121972
1531281453899931-9c0558316d134feb8835997f8df4444d,0.6019984711710454,distance_m,0.003009992355855227,0.0012039969423420908
1531281454400401-755ef1d006e94b2a87523000781a7a99,0.7188779643643878,distance_m,0.003594389821821939,0.0014377559287287755
1531281454900814-4f9ad42bb4a24970b770ba0a87baf47a,2.871626528279352,distance_m,0.01435813264139676,0.005743253056558703
1531281455400117-5ea654e6b56a457093b835dbf8c886e4,0.9541974302451407,distance_m,0.004770987151225704,0.0019083948604902813
1531281455900009-8d4ef2af6b394e5e8ccfd6e2e90156dc,0.5354247625408823,distance_m,0.0026771238127044116,0.0010708495250817648
1531281456399866-91cc3d4e0df748fd8f7b2955fa4b549c,0.5325320529755281,distance_m,0.0026626602648776405,0.0010650641059510562
1531281456900314-adcff599db1e48f19fd5c0fc827c8d79,72.41633103105956,distance_m,0.3620816551552978,0.14483266206211912
1531281457449937-ec78e68b1637464da5305a9cbed214c4,0.34282150654085386,distance_m,0.0017141075327042692,0.0006856430130817077
1531281457949838-9288108d128d4579a54fb135d08b46ad,1.3749354889497756,distance_m,0.0068746774447488775,0.002749870977899551
1531281458449687-efce90566e4b4b39a3869c023d7c6f19,1.123356793250389,distance_m,0.005616783966251945,0.002246713586500778
1531281458949567-e59fefa1fc19406782779392dff95366,171.6016462624995,distance_m,0.8580082313124975,0.343203292524999
1531281492800148-adce54dcf6404d37bd170ffc4c2a7836,264.5621382586707,distance_m,1.3228106912933535,0.5291242765173414
1531281493199947-3613b5ea52bc46d0966fede34be89d38,0.7758252828212008,distance_m,0.003879126414106004,0.0015516505656424015
1531281493799884-c0f6cef97fa44973afe8ed8e18e652c3,1.2143672469816646,distance_m,0.006071836234908323,0.002428734493963329
1531281494299758-895d801ecf3e40019e43a0d5b80bb453,1.0644698978100187,distance_m,0.0053223494890500935,0.002128939795620037
1531281494799652-18f10858b2b1410f8485ffa35253033d,1.0295796504589658,distance_m,0.005147898252294829,0.0020591593009179317
1531281495299542-2d72c60d65f84eae91bb4e5b2486b366,1.2874029816586567,distance_m,0.006437014908293284,0.0025748059633173134
1531281495799388-3d2ce1b79d1c45e5b7db4f26f411bb86,61.09521257840094,distance_m,0.3054760628920047,0.12219042515680188
1531281496298713-9a7a58e327f04340ae8f9ec098a58418,1.7517221433896755,distance_m,0.008758610716948377,0.003503444286779351
1531281496798588-575d8e57b2de436b805fd6befde3edd7,1.1151694214542984,distance_m,0.005575847107271492,0.0022303388429085968
1531281497299031-14d8b49233574552ae43c6f49172ea16,63.632735286171695,distance_m,0.31816367643085847,0.1272654705723434
1531281497798337-5973a055a6ac40e9934cfce8afa82fbe,418.4557406148977,distance_m,2.0922787030744887,0.8369114812297954
1531281498298769-1220f9a205ae44418fcce91722e1e601,229.31337728096022,distance_m,1.146566886404801,0.4586267545619204
1531281498799223-9b3ff4bc3d1d46a19ddae004ec9c0ae5,73.06247326774532,distance_m,0.3653123663387266,0.14612494653549063
1531281499299122-692096a37e2c43b3b1aaaa06b0a9666b,136.9986313800251,distance_m,0.6849931569001255,0.2739972627600502
1531281499800073-0c97832dafd24fce9a0e4935664dc824,108.7133681571704,distance_m,0.5435668407858519,0.21742673631434078
1531281500200435-ca37a1ae2ef1461d9c3dadf826e78706,36.63502422545944,distance_m,0.1831751211272972,0.07327004845091888
1531281500700295-9a1174901ea1401a9972a44616214c9b,11.789004198375075,distance_m,0.058945020991875374,0.02357800839675015
1531281501300236-6e147994a5e3493d86a928a612ff5791,34.628384311139904,distance_m,0.17314192155569952,0.06925676862227981
1531281501800114-4a1972f8731b4cdea40fc69a38a735b1,275.8326032215916,distance_m,1.3791630161079582,0.5516652064431833
1531281502300019-a4be46a1e7d24df3b14fe5322c65df71,35.14434520659049,distance_m,0.17572172603295247,0.07028869041318099
1531281502700898-d02a787e344d40d78b57593a31fe1813,246.04090107134627,distance_m,1.2302045053567314,0.49208180214269254
1531281503201351-1994ad9682bd4175b244af0be3e09417,232.20169034699123,distance_m,1.1610084517349561,0.46440338069398246
1531281503701201-802619f6fb5940608483cb29fc1beab6,6.491530340255559,distance_m,0.0324576517012778,0.012983060680511117
1531281504200013-b24eea3e5ebd423fafe109de526cb484,41.930001192463614,distance_m,0.20965000596231806,0.08386000238492723
1531281504698735-6e90bc3643d94c0fa0edf8795f8c8aa3,96.63550509919614,distance_m,0.4831775254959807,0.19327101019839227
1531281505198061-5512cfa9df6842f89062f97cdefa378d,0.779799407357964,distance_m,0.0038989970367898203,0.0015595988147159281
1531281505697394-6ea8ed46a7e04a10abfa6acd5290ea09,1.671465570686117,distance_m,0.008357327853430584,0.003342931141372234
1531281506297919-1db65e17354d4873bd22d3186e7dfcdf,0.24015426962863845,distance_m,0.0012007713481431922,0.0004803085392572769
1531281506798875-d0a9cf1d37cd414584f676826a1f400a,0.34514864504850534,distance_m,0.0017257432252425267,0.0006902972900970107
1531281507298748-21e50bd8b149409a9791a74acf49a676,54.462142814986635,distance_m,0.2723107140749332,0.10892428562997326
1531281507799178-459ac79bafdf4b88913f981c1fa71b2c,180.2709765880243,distance_m,0.9013548829401214,0.3605419531760486
1531281508299057-e05526aafa644218b37ab46567a6e776,59.859209817704745,distance_m,0.2992960490885237,0.1197184196354095
1531281508699974-9260fb448a3a49c0be2d174e01157940,1.0664294957871987,distance_m,0.005332147478935994,0.0021328589915743973
1531281509200407-5abd3d15e63c44a8a8189a6e70a496ef,161.79346402126384,distance_m,0.8089673201063192,0.3235869280425277
1531281509650513-44a799dcf8cd4393aaa748e1bcd96d58,0.1124195056907905,distance_m,0.0005620975284539525,0.000224839011381581
