metric_group,threshold_m,success_rate,failure_rate,success_count,total,ref_threshold_m,scale_factor_target_over_ref,fraction_of_perturb_bound
absolute,1.0,0.3851951096968682,0.6148048903031318,2300,5971,,,
absolute,2.0,0.5211857310333278,0.47881426896667223,3112,5971,,,
absolute,5.0,0.5613800033495226,0.43861999665047735,3352,5971,,,
absolute,10.0,0.5870038519510969,0.41299614804890306,3505,5971,,,
perturbation_equivalent,6.666666666666667,0.5704237146206665,0.42957628537933346,3406,5971,1.0,6.666666666666667,
perturbation_equivalent,13.333333333333334,0.6020767040696701,0.39792329593032993,3595,5971,2.0,6.666666666666667,
perturbation_equivalent,33.333333333333336,0.713615809747111,0.28638419025288897,4261,5971,5.0,6.666666666666667,
perturbation_equivalent,66.66666666666667,0.8300117233294255,0.16998827667057448,4956,5971,10.0,6.666666666666667,
fraction_of_perturb_bound,6.666666666666667,0.5704237146206665,0.42957628537933346,3406,5971,,,0.03333333333333333
fraction_of_perturb_bound,13.333333333333334,0.6020767040696701,0.39792329593032993,3595,5971,,,0.06666666666666667
fraction_of_perturb_bound,33.33333333333333,0.713615809747111,0.28638419025288897,4261,5971,,,0.16666666666666666
fraction_of_perturb_bound,66.66666666666666,0.8300117233294255,0.16998827667057448,4956,5971,,,0.3333333333333333
