bin_left_m,bin_right_m,count,mean_error_m,median_error_m,p90_error_m
0.0,1.0,0,,,
1.0,2.0,0,,,
2.0,3.0,0,,,
3.0,4.0,1,21.133504205408055,21.133504205408055,21.133504205408055
4.0,5.0,1,11.58123482190047,11.58123482190047,11.58123482190047
5.0,6.0,1,0.8148004732256724,0.8148004732256724,0.8148004732256724
6.0,7.0,1,0.2455199156262879,0.2455199156262879,0.2455199156262879
7.0,8.0,2,0.9345731218360908,0.9345731218360908,0.9684403583818543
8.0,9.0,1,4.809324931022218,4.809324931022218,4.809324931022218
9.0,10.0,1,9.635767144878338,9.635767144878338,9.635767144878338
10.0,11.0,1,0.38251338230380355,0.38251338230380355,0.38251338230380355
11.0,12.0,2,80.80027503117066,80.80027503117066,99.1275185085011
12.0,13.0,1,0.6607485114020455,0.6607485114020455,0.6607485114020455
13.0,14.0,1,0.7608256192422596,0.7608256192422596,0.7608256192422596
14.0,15.0,3,36.18387201184159,32.994195512348334,65.76977791537004
15.0,16.0,7,39.01066266161684,1.0048926431494003,111.01357930041289
16.0,17.0,5,43.829420166099695,0.7403267376210677,128.042817462127
17.0,18.0,3,17.651794634309365,19.611858657455187,29.85304854487175
18.0,19.0,5,17.816583204316263,1.063461813441372,47.134381887356945
19.0,20.0,3,25.18008300252082,1.2715190404627599,59.216664683484915
20.0,21.0,4,7.552879865610425,0.7287571900232036,20.226876314751856
21.0,22.0,9,29.301438337855885,0.9719144575351683,80.945624563472
22.0,23.0,10,39.00732084876876,28.05401563962966,74.91707079431376
23.0,24.0,2,41.708060116043896,41.708060116043896,74.82789768871514
24.0,25.0,7,16.344519000474566,1.1648808354425777,49.081160883345035
25.0,26.0,6,33.16873596427046,18.615713549063425,80.13425485324464
26.0,27.0,10,13.595544190046862,1.5698705044533292,40.97871748234711
27.0,28.0,6,41.660375842108486,39.06416834136942,84.61681105914373
28.0,29.0,11,55.54491764958791,1.2149811375519106,178.59486274806451
29.0,30.0,7,70.40883420342618,17.266296649832007,190.3461524300434
30.0,31.0,5,80.41375556316197,62.486998647718714,152.13185485304714
31.0,32.0,14,20.356448163188038,1.3871410055560314,3.631311291918704
32.0,33.0,6,27.1568332668735,13.302251965331848,67.55056383148002
33.0,34.0,8,28.685056059351574,25.997217960845038,71.09078249648125
34.0,35.0,7,47.394059290899385,33.83969562510869,100.56433993869253
35.0,36.0,11,45.77218529143905,1.2391460566867172,72.57496124697553
36.0,37.0,10,29.0828763471216,3.767735860792472,97.20465506636509
37.0,38.0,7,32.72390077957408,1.128441240557239,104.5205679921723
38.0,39.0,11,17.171444039365404,0.9357304774361933,65.69341671735457
39.0,40.0,11,26.328615418359096,25.99456694825532,49.306439741680805
40.0,41.0,8,60.715449614152114,13.203296361238136,152.8415413177379
41.0,42.0,3,91.11448927137916,1.024360882694035,217.5350357526057
42.0,43.0,13,42.48564083037922,1.2745730184785558,62.82047166741545
43.0,44.0,14,8.432476001574399,1.0643077894999806,32.16807937448816
44.0,45.0,8,29.747532801377197,24.396249046851395,62.3626308541066
45.0,46.0,10,46.74009884558201,22.506261033596935,96.75411747975028
46.0,47.0,6,19.7037837273282,11.422982123236432,46.90795772616498
47.0,48.0,15,23.078256373752478,1.7677669529663689,65.85960807397669
48.0,49.0,13,84.89073342194904,22.26942786613922,241.88138054008567
49.0,50.0,10,20.23290811938354,17.46903103943731,52.70799852627724
50.0,51.0,0,,,
