bin_left_m,bin_right_m,count,median_error_m
0,20,39,25.18771553478751
20,40,162,22.19046137714389
40,60,219,22.2963001415033
60,80,334,17.171643706519276
80,100,455,14.508932912125706
100,120,514,15.276438614259762
120,140,636,14.03019404839602
140,160,688,12.568785038105384
160,180,788,17.91150363330683
180,200,832,14.448846632559789
200,220,617,19.764235376052373
220,240,387,14.920623311376774
240,260,224,15.145083765335162
260,280,74,15.38546394055666
280,300,2,27.361756798840464
