bin_left_m,bin_right_m,count,median_error_m
0,20,39,1.0908592011683471
20,40,162,0.9470372044730296
40,60,219,0.9357240183991093
60,80,335,0.9101341138591492
80,100,455,0.9791709744270137
100,120,514,0.9960600481581583
120,140,636,0.9501677470122327
140,160,688,0.9057631148064558
160,180,788,0.9624860095070743
180,200,832,0.9326101005987282
200,220,616,0.9836263491758137
220,240,388,0.9033863284590591
240,260,224,0.9847364786609534
260,280,74,1.0643060235029602
280,300,2,0.6074292505955698
