series,bin_center_m,density_raw,density_smoothed
BEVMapMatch-GT,0.025,0.0000000000,0.0195319966
BEVMapMatch-GT,0.075,0.0633373934,0.0489412117
BEVMapMatch-GT,0.125,0.0682095006,0.0823864164
BEVMapMatch-GT,0.175,0.1169305725,0.1295303776
BEVMapMatch-GT,0.225,0.1900121803,0.1966073408
BEVMapMatch-GT,0.275,0.2874543240,0.2664476514
BEVMapMatch-GT,0.325,0.3215590743,0.3224171737
BEVMapMatch-GT,0.375,0.3556638246,0.3797320576
BEVMapMatch-GT,0.425,0.4725943971,0.4532273887
BEVMapMatch-GT,0.475,0.4823386114,0.5605171039
BEVMapMatch-GT,0.525,0.7161997564,0.7416342382
BEVMapMatch-GT,0.575,1.0133982948,0.9612122812
BEVMapMatch-GT,0.625,1.1157125457,1.1718982592
BEVMapMatch-GT,0.675,1.4567600487,1.3690340062
BEVMapMatch-GT,0.725,1.4908647990,1.5230776502
BEVMapMatch-GT,0.775,1.6857490865,1.6363287383
BEVMapMatch-GT,0.825,1.7783191230,1.6562493288
BEVMapMatch-GT,0.875,1.5249695493,1.5458134750
BEVMapMatch-GT,0.925,1.4421437272,1.3482686408
BEVMapMatch-GT,0.975,1.0475030451,1.0909110787
BEVMapMatch-GT,1.025,0.8087697929,0.8457832659
BEVMapMatch-GT,1.075,0.6674786845,0.6403965273
BEVMapMatch-GT,1.125,0.4092570037,0.4590528417
BEVMapMatch-GT,1.175,0.2728380024,0.3459040312
BEVMapMatch-GT,1.225,0.3459196102,0.3004192295
BEVMapMatch-GT,1.275,0.2582216809,0.2481952172
BEVMapMatch-GT,1.325,0.1510353228,0.1856885900
BEVMapMatch-GT,1.375,0.1412911084,0.1514972848
BEVMapMatch-GT,1.425,0.1559074300,0.1325235534
BEVMapMatch-GT,1.475,0.0925700365,0.1044270959
BEVMapMatch-GT,1.525,0.0779537150,0.0761271985
BEVMapMatch-GT,1.575,0.0438489647,0.0579894727
BEVMapMatch-GT,1.625,0.0487210719,0.0548399758
BEVMapMatch-GT,1.675,0.0730816078,0.0557705913
BEVMapMatch-GT,1.725,0.0438489647,0.0461426227
BEVMapMatch-GT,1.775,0.0243605359,0.0356822382
BEVMapMatch-GT,1.825,0.0389768575,0.0334734359
BEVMapMatch-GT,1.875,0.0292326431,0.0340143438
BEVMapMatch-GT,1.925,0.0389768575,0.0347617482
BEVMapMatch-GT,1.975,0.0341047503,0.0329874715
BEVMapMatch-GT,2.025,0.0292326431,0.0278550905
BEVMapMatch-GT,2.075,0.0194884287,0.0228158197
BEVMapMatch-GT,2.125,0.0146163216,0.0235267384
BEVMapMatch-GT,2.175,0.0438489647,0.0260645388
BEVMapMatch-GT,2.225,0.0097442144,0.0234863172
BEVMapMatch-GT,2.275,0.0243605359,0.0253266267
BEVMapMatch-GT,2.325,0.0389768575,0.0288775782
BEVMapMatch-GT,2.375,0.0243605359,0.0243360904
BEVMapMatch-GT,2.425,0.0146163216,0.0154704794
BEVMapMatch-GT,2.475,0.0048721072,0.0092451933
BEVMapMatch-GT,2.525,0.0048721072,0.0092639444
BEVMapMatch-GT,2.575,0.0194884287,0.0117072530
BEVMapMatch-GT,2.625,0.0097442144,0.0097658127
BEVMapMatch-GT,2.675,0.0000000000,0.0080442967
BEVMapMatch-GT,2.725,0.0146163216,0.0115117023
BEVMapMatch-GT,2.775,0.0194884287,0.0136110476
BEVMapMatch-GT,2.825,0.0048721072,0.0124521096
BEVMapMatch-GT,2.875,0.0194884287,0.0115589122
BEVMapMatch-GT,2.925,0.0048721072,0.0087593007
BEVMapMatch-GT,2.975,0.0048721072,0.0071038176
BEVMapMatch-GT,3.025,0.0097442144,0.0080819425
BEVMapMatch-GT,3.075,0.0097442144,0.0082802686
BEVMapMatch-GT,3.125,0.0048721072,0.0077784004
BEVMapMatch-GT,3.175,0.0097442144,0.0085649879
BEVMapMatch-GT,3.225,0.0097442144,0.0094378968
BEVMapMatch-GT,3.275,0.0097442144,0.0091963741
BEVMapMatch-GT,3.325,0.0097442144,0.0073857615
BEVMapMatch-GT,3.375,0.0000000000,0.0058341846
BEVMapMatch-GT,3.425,0.0097442144,0.0071442388
BEVMapMatch-GT,3.475,0.0097442144,0.0082802686
BEVMapMatch-GT,3.525,0.0048721072,0.0086729075
BEVMapMatch-GT,3.575,0.0146163216,0.0092867806
BEVMapMatch-GT,3.625,0.0048721072,0.0082114604
BEVMapMatch-GT,3.675,0.0097442144,0.0067327770
BEVMapMatch-GT,3.725,0.0000000000,0.0070566076
BEVMapMatch-GT,3.775,0.0146163216,0.0104876054
BEVMapMatch-GT,3.825,0.0146163216,0.0123630129
BEVMapMatch-GT,3.875,0.0097442144,0.0113848879
BEVMapMatch-GT,3.925,0.0097442144,0.0109450391
BEVMapMatch-GT,3.975,0.0146163216,0.0105524002
BEVMapMatch-GT,4.025,0.0048721072,0.0092207478
BEVMapMatch-GT,4.075,0.0097442144,0.0097658127
BEVMapMatch-GT,4.125,0.0146163216,0.0105092037
BEVMapMatch-GT,4.175,0.0048721072,0.0098521340
BEVMapMatch-GT,4.225,0.0146163216,0.0092867806
BEVMapMatch-GT,4.275,0.0048721072,0.0070106357
BEVMapMatch-GT,4.325,0.0048721072,0.0042191227
BEVMapMatch-GT,4.375,0.0000000000,0.0029926863
BEVMapMatch-GT,4.425,0.0048721072,0.0039560017
BEVMapMatch-GT,4.475,0.0048721072,0.0058098109
BEVMapMatch-GT,4.525,0.0097442144,0.0070578456
BEVMapMatch-GT,4.575,0.0048721072,0.0072089618
BEVMapMatch-GT,4.625,0.0097442144,0.0067947246
BEVMapMatch-GT,4.675,0.0048721072,0.0046089862
BEVMapMatch-GT,4.725,0.0000000000,0.0017270667
BEVMapMatch-GT,4.775,0.0000000000,0.0003279158
BEVMapMatch-GT,4.825,0.0000000000,0.0003063176
BEVMapMatch-GT,4.875,0.0000000000,0.0014423474
BEVMapMatch-GT,4.925,0.0048721072,0.0031234422
BEVMapMatch-GT,4.975,0.0048721072,0.0031234422
BEVMapMatch-CAF,0.025,0.0230813618,0.0377275460
BEVMapMatch-CAF,0.075,0.0865551068,0.0833021802
BEVMapMatch-CAF,0.125,0.1211771495,0.1448566319
BEVMapMatch-CAF,0.175,0.2308136180,0.2231816194
BEVMapMatch-CAF,0.225,0.3115983843,0.3006710183
BEVMapMatch-CAF,0.275,0.3635314484,0.3676143537
